object,time,x,y
Food0,0,-3,8
Food1,0,6,-3
Food2,0,0,2
Food3,0,9,8
Food4,0,-2,-10
Food5,0,-10,-6
Food6,0,10,-10
Food7,0,10,-2
Food8,0,-9,-1
Food9,0,2,8
Agent 0,0,1.2246467991473532e-16,2.0
Agent 1,0,6.123233995736766e-17,1.0
Agent 0,1,1.0300761498201085,3.7143346014042247
Agent 1,1,-0.03489949670250089,1.9993908270190959
Agent 0,2,1.4715475623363692,5.665001921049196
Agent 1,2,0.25747220802023585,2.9556955829821314
Agent 0,3,1.9130189748526298,7.615669240694167
Agent 1,3,0.5839840744349738,3.900888685522752
Agent 0,4,-0.08088950427502684,7.77164672901487
Agent 1,4,-0.0742356525108755,4.653714555866839
Agent 0,5,-2.0747979834026835,7.927624217335573
Agent 1,5,-0.7324553794567248,5.406540426210926
Agent 0,6,-3.9352870837364744,7.193743908607263
Agent 1,6,-1.6084612117978108,5.888840935960191
Agent 0,7,-5.935218941591184,7.210253419133361
Agent 1,7,-2.56039962541737,6.195130434107739
Agent 0,8,-7.831566633998636,6.5747493440080085
Agent 1,8,-3.4679151344238752,6.615149006212192
Agent 0,9,-9.571813184001673,5.589081070600302
Agent 1,9,-3.877268806699003,7.527524790083546
Agent 0,10,-10.732450771272568,3.960302267013395
Agent 1,10,-4.205545975555586,8.47210623199711
Agent 0,11,-10.072989522891145,2.0721521506605622
Agent 1,11,-4.5665885837479605,9.404655552445979
Agent 0,12,-9.413528274509723,0.18400203430772955
Agent 1,12,-4.794331769370972,10.378376786373988
Agent 0,13,-9.820728857384532,-1.7741061560909563
Agent 1,13,-5.122608938227556,11.32295822828755
Agent 0,14,-9.905496745848025,-3.7723089498747706
Agent 1,14,-5.531962610502683,12.235334012158905
Agent 0,15,-9.99026463431152,-5.770511743658584
Agent 1,15,-6.00396323521859,13.116932225784474
Agent 0,16,-10.454750165551243,-7.715827448439933
Agent 1,16,-6.635508748511655,13.892271032139089
Agent 0,17,-11.406893489247732,-9.474640426314556
Agent 1,17,-6.897095580132025,14.857450978844788
Agent 0,18,-11.421873467591341,-11.47458432558994
Agent 1,18,-7.322310058863774,15.762543596799928
Agent 0,19,-11.852337815106194,-13.427710139642533
Agent 1,19,-7.747524537595523,16.667636214755067
Agent 0,20,-12.04156738610462,-15.418738057442722
Agent 1,20,-7.837535538595053,17.663576985935293
Agent 0,21,-11.209931042836395,-17.237633599400933
Agent 1,21,-7.498210452207012,18.60424615506318
Agent 0,22,-9.687514076719431,-18.534648087091497
Agent 1,22,-7.327385963347055,19.589547628727832
Agent 0,23,-7.825773942386674,-19.265348896051396
Agent 1,23,-6.988060876959014,20.53021679785572
Agent 0,24,-6.349549544387392,-20.61470486344905
Agent 1,24,-6.460574740386244,21.379780436274604
Agent 0,25,-5.393059286337556,-22.37115764854057
Agent 1,25,-5.5218663893764335,21.724492826165715
Agent 0,26,-5.408039264681165,-24.371101547815954
Agent 1,26,-4.704361881369459,22.300415025241488
Agent 0,27,-4.8376376820344,-26.288037132157292
Agent 1,27,-3.8146603926807483,22.756957751637486
Agent 0,28,-3.5368619626077535,-27.807241702894917
Agent 1,28,-3.1476627781539026,23.502017603069234
Agent 0,29,-1.9486509225576618,-29.022801529585074
Agent 1,29,-2.2030813362403396,23.830294771925818
Agent 0,30,-0.674587093203425,-30.564476384647328
Agent 1,30,-1.2158454767508071,23.989559826906387
Agent 0,31,1.0673408166639693,-31.547170211240847
Agent 1,31,-0.25379760896169834,23.716679083572547
Agent 0,32,2.826153794538593,-32.499313534937336
Agent 1,32,0.744977845225558,23.667205938200137
Agent 0,33,4.826097693813976,-32.51429351328095
Agent 1,33,1.4782835069717328,22.98730682329337
Agent 0,34,6.598976019375545,-31.588603261223593
Agent 1,34,2.476043417378869,22.92041017775457
Agent 0,35,8.387739849494938,-30.69399498937686
Agent 1,35,3.4702615933824257,23.027789032768766
Agent 0,36,9.993981241572381,-29.502362247976595
Agent 1,36,4.420428397542168,23.339530984185096
Agent 0,37,10.458466772812102,-27.55704654319525
Agent 1,37,5.397975995648739,23.550245704686713
Agent 0,38,11.285602131914686,-25.736099784577018
Agent 1,38,6.273981827989825,23.067945194937447
Agent 0,39,11.983699806097171,-23.86189071478224
Agent 1,39,7.248992717254354,22.84578812029072
Agent 0,40,13.143091380629134,-22.232224743822457
Agent 1,40,8.189661886382241,22.50646303390268
Agent 0,41,13.297543902597916,-20.238197557834894
Agent 1,41,9.174963360046894,22.335638545042723
Agent 0,42,13.863202830164218,-18.319857135056772
Agent 1,42,10.148684593974902,22.563381730665736
Agent 0,43,13.393907619925036,-16.37569613204119
Agent 1,43,11.147971274751418,22.60114586209564
Agent 0,44,12.56227127665681,-14.556800590082977
Agent 1,44,12.145331267901517,22.67376159085764
Agent 0,45,11.582018809579653,-12.81349766150483
Agent 1,45,13.145327159412236,22.676628115178417
Agent 0,46,10.601766342502495,-11.070194732926682
Agent 1,46,14.060034784242644,22.27251184344822
Agent 0,47,11.241375965434827,-9.175227838690173
Agent 1,47,14.827918646392497,21.63192275967468
Agent 0,48,10.882092966153259,-7.207763550214461
Agent 1,48,15.59580250854235,20.99133367590114
Agent 0,49,10.548089557764785,-5.235850336306485
Agent 1,49,16.445366146961234,20.46384753932837
Agent 0,50,10.21408614937631,-3.2639371223985094
Agent 1,50,17.129458148213562,19.734451807353892
Agent 0,51,8.217997427466354,-3.138917866826099
Agent 1,51,17.646951198009642,18.8787643974823
Agent 0,52,6.221908705556398,-3.0138986112536887
Agent 1,52,18.447308544271976,18.27924115499381
Agent 0,53,4.326192421845914,-2.3765135065682177
Agent 1,53,19.037410448545337,17.4719123851776
Agent 0,54,2.7628003637976564,-1.1291942720369628
Agent 1,54,19.83776779480767,16.87238914268911
Agent 0,55,1.314068518860252,0.24963713225591344
Agent 1,55,20.828430738122197,16.73605524102337
Agent 0,56,-0.6378877181984635,0.685374264719489
Agent 1,56,21.55782647009668,17.420147242275696
Agent 0,57,-2.3446959744196887,-0.3571254122565092
Agent 1,57,22.439424683722248,17.892147866991603
Agent 0,58,-3.451010186662593,-2.0232793258519375
Agent 1,58,23.16882041569673,18.57623986824393
Agent 0,59,-4.219081136438875,-3.869916002653782
Agent 1,59,23.45844964837241,19.53337878584142
Agent 0,60,-5.051130888757899,-5.688622468707568
Agent 1,60,24.057972890860903,20.333736132103756
Agent 0,61,-3.8957926251523514,-7.321164503893468
Agent 1,61,24.509407433513793,21.226040370410274
Agent 0,62,-2.7404543615468007,-8.953706539079365
Agent 1,62,25.214484370774056,21.935171185241845
Agent 0,63,-1.096429259865601,-10.092645284158362
Agent 1,63,25.681423013992163,22.81946090217269
Agent 0,64,0.5863427351219608,-11.173514569912001
Agent 1,64,26.03711336018863,23.754064763507873
Agent 0,65,1.8255382963087838,-12.74335353016712
Agent 1,65,26.72970687161859,24.475392863560216
Agent 0,66,3.2950542217570793,-14.100012273128606
Agent 1,66,27.6558130979497,24.8526557129779
Agent 0,67,4.588281488106853,-15.625647628503373
Agent 1,67,28.600394539863263,25.180932881834483
Agent 0,68,4.979720843792746,-17.586967396114
Agent 1,68,29.59025959702039,25.32294403850649
Agent 0,69,5.673158940072774,-19.46290545655937
Agent 1,69,30.270158711927156,26.056249700252664
Agent 0,70,6.992815249943085,-20.96573852241182
Agent 1,70,31.05640141940776,26.674167498129997
Agent 0,71,8.090474817320978,-22.637606781020665
Agent 1,71,31.975782450693178,27.06753567085443
Agent 0,72,8.816546933102261,-24.501156963517744
Agent 1,72,32.76202515817378,27.68545346873176
Agent 0,73,9.575031899784715,-26.351751612628327
Agent 1,73,33.24432566792304,28.561459301072848
Agent 0,74,11.090999343162624,-27.656298549544836
Agent 1,74,34.10891425149101,29.063939729710565
Agent 0,75,13.058851951003758,-27.299148561706613
Agent 1,75,35.02129003536236,29.473293401985693
Agent 0,76,14.768009519094003,-26.260505019657735
Agent 1,76,36.021285926873084,29.47615992630647
Agent 0,77,16.59100609235211,-25.437897279669105
Agent 1,77,36.91881967893275,29.917105687045474
Agent 0,78,17.427159835766272,-23.621073975829546
Agent 1,78,37.918613238478095,29.937424109514968
Agent 0,79,17.96880535747265,-21.695815518163297
Agent 1,79,38.91343068124599,29.835746896902002
Agent 0,80,17.889003278430618,-19.6974082453131
Agent 1,80,39.903295738403116,29.977758053574007
Agent 0,81,17.98367754056983,-17.69965030600003
Agent 1,81,40.648355589834864,29.31076043904716
Agent 0,82,17.97366748282726,-15.699675356470914
Agent 1,82,41.22427778891063,28.493255931040185
Agent 0,83,18.648292824318624,-13.816890013257922
Agent 1,83,41.98086487757965,27.839362990827997
Agent 0,84,19.758365909242535,-12.153238082676435
Agent 1,84,42.848319985468386,27.341847527954993
Agent 0,85,20.095799932134796,-10.181909018264623
Agent 1,85,43.69788362388727,26.814361391382224
Agent 0,86,19.60224948494547,-8.243763524221615
Agent 1,86,44.65502254148476,26.52473215870654
Agent 0,87,18.533935220795158,-6.552993098346779
Agent 1,87,45.08023702021651,25.619639540751404
Agent 0,88,17.973045128924653,-4.6332529323760046
Agent 1,88,44.99593725187759,24.623199101458617
Agent 0,89,17.58160577323876,-2.6719331647653752
Agent 1,89,44.32893963735074,23.87813925002687
Agent 0,90,17.224455785400536,-0.7040805569242401
Agent 1,90,43.84663912760148,23.002133417685783
Agent 0,91,16.76480581123151,1.2423833911740585
Agent 1,91,43.28982497793334,22.17149631116492
Agent 0,92,16.305155837062486,3.188847339272357
Agent 1,92,42.91787771865355,21.24324244701231
Agent 0,93,15.011928570712714,4.714482694647124
Agent 1,93,42.66182858677942,20.276578678131678
Agent 0,94,13.451356582218066,5.965328436026078
Agent 1,94,42.43967151213269,19.30156778886715
Agent 0,95,11.632371429644454,6.796768761435395
Agent 1,95,42.494869849202736,18.303092379262736
Agent 0,96,9.813386277070842,7.628209086844712
Agent 1,96,42.22198910586889,17.341044511473626
Agent 0,97,7.886729927639935,8.164861032893146
Agent 1,97,41.755050462650786,16.456754794542782
Agent 0,98,5.893073663184147,8.324029808713625
Agent 1,98,41.48216971931694,15.494706926753674
Agent 0,99,3.9208763355947647,8.656351491799906
Agent 1,99,41.2092889759831,14.532659058964565
